月份,品类,进口量(万吨),进口量同比(%),进口额(亿元),进口额同比(%),主要来源及占比
2020-05,乳  清,16.63,11.2,19.9,0.1,美国占43.4%、欧盟占40.4%、白俄罗斯占8.1%
2020-05,包装牛奶,27.14,0.2,34.5,4.9,欧盟占56.7%、新西兰占33%，、澳大利亚占8.6%
2020-05,大包粉,44.8,17.4,162.10000000000002,-1.8,欧盟占70.9%、新西兰占20.8%
2020-05,大包粉,82.29,17.4,149.5,1.0,美国，从美国进口量为32.49万吨，同比+36.1%，占苜蓿总进口量87.33%；进口金额12062.71万美元，同比+50.57%；平均到岸价371.31美元/吨，同比+10.63%
2020-05,奶  油,5.02,54.9,23.900000000000002,38.6,新西兰占92.6%
2020-05,奶  酪,4.39,15.8,19.8,17.0,新西兰占66.5%，同比+36.5%，欧盟占13.8%、澳大利亚占12.9%、美国占4.3%
2020-10,乳  清,45.04,35.4,59.2,28.1,：欧盟占44.4%、美国占38.1%、白俄罗斯占8.8%
2020-10,包装牛奶,71.24,8.3,91.5,12.9,：欧盟占59.2%、新西兰占29.4%、澳大利亚占9.9%
2020-10,大包粉,76.36,-2.4,255.5,8.9,：新西兰占74%、欧盟占11.9%、澳大利亚占7.2%
2020-10,奶  油,8.95,40.7,43.3,22.7,：新西兰占83.2%、欧盟占13.6%
2020-10,奶  酪,9.76,14.1,44.5,14.9,：新西兰占56.6%、欧盟占20%、澳大利亚占14.3%、美国占6%
2020-10,婴配粉,25.18,-2.8,379.3,-3.6,：欧盟占71.4%、新西兰占20.8%
2020-10,炼  乳,1.67,-31.2,2.9,-28.7,：澳大利亚占52.2%、欧盟占39.6%
2020-10,炼乳,166.96,7.9,784.7,11.7,美国，从美国进口量为87.11万吨，同比+27.94%，占苜蓿总进口量86.75%；进口金额32271.3万美元，同比+36.97%；平均到岸价370.46美元/吨
2020-11,乳  清,50.63,37.5,67.2,32.7,：欧盟28占44.1%、美国占38.6%、白俄罗斯占8.7%
2020-11,包装牛奶,81.71,11.0,104.0,14.8,：欧盟28占59.7%、新西兰占28.9%、澳大利亚占9.8%
2020-11,大包粉,82.6,-0.8,277.1,10.0,：新西兰占72.3%、欧盟占12.4%、澳大利亚占7.6%
2020-11,大包粉,183.01,-3.5,67.2,-13.1,美国，从美国进口量为97.13万吨，同比+22.49%，占苜蓿总进口量86.80%；进口金额35950.53万美元，同比+30.49%；平均到岸价370.13美元/吨
2020-11,奶  油,9.6,41.8,46.3,23.2,：新西兰占82.6%、欧盟28占14.2%
2020-11,奶  酪,10.6,12.7,48.4,13.4,：新西兰占56.6%、欧盟28占20.6%、澳大利亚占14%
2020-11,婴配粉,27.72,-3.0,417.29999999999995,-4.1,：欧盟28占71.5%、新西兰占20.6%
2020-11,炼  乳,1.87,-32.1,3.2,-29.0,：澳大利亚占52%、欧盟28占39.8%
2020-12,乳  清,56.76,38.6,74.2,33.6,：欧盟占42.5%、美国占39.5%、白俄罗斯占9.3%
2020-12,包装牛奶,92.14,13.0,116.7,15.4,，欧盟占59.9%、新西兰占29%、澳大利亚占9.6%
2020-12,大包粉,90.17,-2.1,302.8,7.8,：新西兰占71.6%、欧盟占12.7%、澳大利亚占7.6%
2020-12,大包粉,29.7,36.59,946.5999999999999,10.1,美国92.75%（11.05万吨-7.91%，均价363.19美元/吨+1.48%）、西班牙4.94%（0.59万吨-87.61%，均价294.67美元/吨同比-1.16%）、南非0.03%（0.13万吨+4301.73%，均价360.28美元/吨），加拿大、苏丹、等少量进口
2020-12,奶  油,10.69,34.3,50.8,16.7,：新西兰占82.8%、欧盟占13.7%
2020-12,奶  酪,11.77,11.5,53.6,12.0,：新西兰占56.4%、欧盟占21%、澳大利亚占13.9%
2020-12,婴配粉,30.64,-4.3,461.5,-4.5,：欧盟占71.5%、新西兰占20.8%
2020-12,炼  乳,2.1,-32.5,3.5999999999999996,-28.2,：澳大利亚占49.8%、欧盟占42.2%、马来西亚占7.1%
2021-04,乳  清,20.25,59.4,24.6,63.2,：美国占39%、欧盟占37.3%、白俄罗斯占9.1%
2021-04,包装牛奶,24.75,55.8,20.299999999999997,53.3,：欧盟28占60.8%、新西兰占25.7%、澳大利亚占12%
2021-04,大包粉,82.08,-1.5,144.1,2.4,美国26.37万吨，占比90.0%，同比增长18.5%；进口金额9517.01万美元，同比增长15%，进口价格360.9美元/吨，同比下降2.9%；西班牙脱水苜蓿1.11万吨，占比3.8%，同比下降48.4%；进口金额319.96万美元，同比下降50%，进口价格287.94美元/吨，同比下降3.1%；南非0.95万吨，占比3.2%，同比下降20.4%；进口金额313.68万美元，同比下降20.9%，进口价格331.38美元/吨，同比下降0.6%
2021-04,奶  油,4.1,-2.5,17.3,-13.6,：新西兰占86.7%、欧盟占9.2%、澳大利亚占3.9%
2021-04,奶  酪,5.1,46.9,22.7,45.2,：新西兰占65.8%、欧盟占16.3%、澳大利亚占12.3%
2021-04,婴配粉,6.1,-17.6,100.60000000000001,-8.0,：欧盟占66.7%、新西兰占25.5%、澳大利亚占2.6%
2021-04,炼  乳,0.64,46.4,1.3,67.9,：欧盟28占76.7%、澳大利亚占17.5%、马来西亚占3%
2021-04,稀奶油,44.5,24.0,144.1,22.1,：新西兰占84.9%、欧盟占6.6%、澳大利亚占4.4%
2021-04,稀奶油,7.03,71.6,23.700000000000003,82.7,：新西兰占56.8%、欧盟28占41.9%、澳大利亚占1.3%
2021-04,蛋白类,1.4,32.2,10.3,13.3,：欧盟28占39.1%、新西兰占33.4%、美国占22.9%
