分类,指标,内容
【1. 消费者基础】,,
分类,指标,内容
消费者基础,性别分布,49.6%男性，50.4%女性
消费者基础,年龄分布,主要集中在20至45岁，占比84%，25-29岁最多，占比25%，平均年龄31.93岁
消费者基础,婚姻状况,65%已婚，54.3%已婚并有孩子
消费者基础,收入水平,42%月收入超8000元，6%低于3000元，平均月薪9102元
【2. 地域分布】,,
分类,指标,内容
地域分布,主要购买地区,华东91.4%，华北90.2%
地域分布,购买较少地区,华中79.1%，东北79%，西南78.4%
【3. 购买决策因素】,,
分类,指标,内容
购买决策因素,资讯获取途径,65.2%通过手机APP，信息主要通过手机、电脑网络获得
购买决策因素,广告接受度,文字链、图片、视频贴片广告受欢迎，推送与内置广告接受度低
购买决策因素,品牌影响,61.9%偏爱熟悉品牌，57.8%认为名牌提升生活品质，36%愿为外国品牌付高价
购买决策因素,价格与包装,57%认为乳制品价格正常，32%认为较贵
【4. 购买渠道】,,
分类,指标,内容
购买渠道,大型超市,75.16%消费者选择
购买渠道,便利店,27.84%消费者选择
购买渠道,其他渠道,网店、专卖店占比较小
【5. 消费者关注点】,,
分类,指标,内容
消费者关注点,热词,鸡蛋、怀孕、婴儿、水果等
消费者关注点,产品因素,安全70.24%、营养61.46%、品牌51.61%
消费者关注点,包装信息,生产日期和保质期（80.51%），其次是营养标签
【6. 乳制品食用情况】,,
分类,指标,内容
乳制品食用情况,食用原因,营养55.61%、口感52.69%、补钙34.53%
乳制品食用情况,食用频次,63%每周3-6次及以上，32%偶尔
乳制品食用情况,食用产品,鲜奶最受欢迎，41-50岁人群中占65.45%
【7. 消费者健康意识】,,
分类,指标,内容
消费者健康意识,乳制品消费与健康,健康意识提高，消费者偏好高钙、低脂产品，表现科学理性
【8. 总结】,,
分类,指标,内容
总结,目标群体,中青年、城市居民是主要购买群体
总结,营销建议,强化宣传渠道、品牌建设与营养卖点，满足健康需求
